phase,videoorimage,repnr,pairtype,distance,leftcolour,rightcolour,winnerlr,leftim,rightim
0,2,0,0,0,10,9,1,practicecar_colour9vscolour10.avi
0,1,0,0,0,10,9,1,practicecar_colour10.png,practicecar_colour9.png
1,1,1,1,0,2,1,2,car_colour2.png,car_colour1.png
1,1,1,2,0,2,3,1,car_colour2.png,car_colour3.png
1,1,1,2,0,3,4,1,car_colour3.png,car_colour4.png
1,1,1,2,0,5,4,2,car_colour5.png,car_colour4.png
1,1,1,1,0,6,5,2,car_colour6.png,car_colour5.png
1,1,1,3,0,8,7,2,car_colour8.png,car_colour7.png
1,1,2,1,0,1,2,1,car_colour1.png,car_colour2.png
1,1,2,2,0,2,3,1,car_colour2.png,car_colour3.png
1,1,2,2,0,4,3,2,car_colour4.png,car_colour3.png
1,1,2,2,0,4,5,1,car_colour4.png,car_colour5.png
1,1,2,1,0,5,6,1,car_colour5.png,car_colour6.png
1,1,2,3,0,8,7,2,car_colour8.png,car_colour7.png
1,1,3,1,0,1,2,1,car_colour1.png,car_colour2.png
1,1,3,2,0,3,2,2,car_colour3.png,car_colour2.png
1,1,3,2,0,4,3,2,car_colour4.png,car_colour3.png
1,1,3,2,0,5,4,2,car_colour5.png,car_colour4.png
1,1,3,1,0,5,6,1,car_colour5.png,car_colour6.png
1,1,3,3,0,8,7,2,car_colour8.png,car_colour7.png
1,1,4,2,0,5,4,2,car_colour5.png,car_colour4.png
1,1,4,2,0,2,3,1,car_colour2.png,car_colour3.png
1,1,4,2,0,3,4,1,car_colour3.png,car_colour4.png
1,1,4,1,0,6,5,2,car_colour6.png,car_colour5.png
1,1,4,1,0,1,2,1,car_colour1.png,car_colour2.png
1,1,4,3,0,7,8,1,car_colour7.png,car_colour8.png
1,1,5,2,0,3,2,2,car_colour3.png,car_colour2.png
1,1,5,2,0,4,5,1,car_colour4.png,car_colour5.png
1,1,5,3,0,7,8,1,car_colour7.png,car_colour8.png
1,1,5,2,0,4,3,2,car_colour4.png,car_colour3.png
1,1,5,1,0,2,1,2,car_colour2.png,car_colour1.png
1,1,5,1,0,5,6,1,car_colour5.png,car_colour6.png
1,1,6,2,0,2,3,1,car_colour2.png,car_colour3.png
1,1,6,3,0,7,8,1,car_colour7.png,car_colour8.png
1,1,6,1,0,5,6,1,car_colour5.png,car_colour6.png
1,1,6,2,0,5,4,2,car_colour5.png,car_colour4.png
1,1,6,2,0,3,4,1,car_colour3.png,car_colour4.png
1,1,6,1,0,2,1,2,car_colour2.png,car_colour1.png
1,1,7,1,0,5,6,1,car_colour5.png,car_colour6.png
1,1,7,3,0,7,8,1,car_colour7.png,car_colour8.png
1,1,7,2,0,5,4,2,car_colour5.png,car_colour4.png
1,1,7,2,0,2,3,1,car_colour2.png,car_colour3.png
1,1,7,1,0,2,1,2,car_colour2.png,car_colour1.png
1,1,7,2,0,3,4,1,car_colour3.png,car_colour4.png
1,1,8,3,0,7,8,1,car_colour7.png,car_colour8.png
1,1,8,2,0,4,3,2,car_colour4.png,car_colour3.png
1,1,8,2,0,4,5,1,car_colour4.png,car_colour5.png
1,1,8,1,0,5,6,1,car_colour5.png,car_colour6.png
1,1,8,2,0,3,2,2,car_colour3.png,car_colour2.png
1,1,8,1,0,1,2,1,car_colour1.png,car_colour2.png
0,2,0,0,0,10,9,1,practicecar_colour9vscolour10.avi
0,1,0,0,0,10,9,1,practicecar_colour10.png,practicecar_colour9.png
2,1,1,1,0,6,5,2,car_colour6.png,car_colour5.png
2,1,1,2,0,2,3,1,car_colour2.png,car_colour3.png
2,1,1,2,0,4,3,2,car_colour4.png,car_colour3.png
2,1,1,2,0,4,5,1,car_colour4.png,car_colour5.png
2,1,1,3,0,8,7,2,car_colour8.png,car_colour7.png
2,1,1,4,1,3,5,1,car_colour3.png,car_colour5.png
2,1,1,4,2,2,5,1,car_colour2.png,car_colour5.png
2,1,1,1,0,2,1,2,car_colour2.png,car_colour1.png
2,1,1,4,1,2,4,1,car_colour2.png,car_colour4.png
2,1,2,1,0,1,2,1,car_colour1.png,car_colour2.png
2,1,2,4,1,4,2,2,car_colour4.png,car_colour2.png
2,1,2,2,0,3,4,1,car_colour3.png,car_colour4.png
2,1,2,3,0,8,7,2,car_colour8.png,car_colour7.png
2,1,2,4,1,5,3,2,car_colour5.png,car_colour3.png
2,1,2,1,0,5,6,1,car_colour5.png,car_colour6.png
2,1,2,2,0,5,4,2,car_colour5.png,car_colour4.png
2,1,2,4,2,2,5,1,car_colour2.png,car_colour5.png
2,1,2,2,0,3,2,2,car_colour3.png,car_colour2.png
2,1,3,4,1,5,3,2,car_colour5.png,car_colour3.png
2,1,3,3,0,8,7,2,car_colour8.png,car_colour7.png
2,1,3,1,0,6,5,2,car_colour6.png,car_colour5.png
2,1,3,2,0,5,4,2,car_colour5.png,car_colour4.png
2,1,3,4,1,4,2,2,car_colour4.png,car_colour2.png
2,1,3,4,2,2,5,1,car_colour2.png,car_colour5.png
2,1,3,1,0,2,1,2,car_colour2.png,car_colour1.png
2,1,3,2,0,2,3,1,car_colour2.png,car_colour3.png
2,1,3,2,0,4,3,2,car_colour4.png,car_colour3.png
2,1,4,2,0,3,2,2,car_colour3.png,car_colour2.png
2,1,4,4,1,2,4,1,car_colour2.png,car_colour4.png
2,1,4,2,0,4,5,1,car_colour4.png,car_colour5.png
2,1,4,1,0,5,6,1,car_colour5.png,car_colour6.png
2,1,4,1,0,1,2,1,car_colour1.png,car_colour2.png
2,1,4,2,0,4,3,2,car_colour4.png,car_colour3.png
2,1,4,4,1,5,3,2,car_colour5.png,car_colour3.png
2,1,4,3,0,8,7,2,car_colour8.png,car_colour7.png
2,1,4,4,2,5,2,2,car_colour5.png,car_colour2.png
