Phase,Video,Repetitions,Pair Type,Left Colour,Right Colour,Winner,Left Image,Right Image 
0,2,0,0,1,2,1,practicecar_colour1vscolour2.mov,
0,1,0,0,1,2,1,practicecar_colour1.png,practicecar_colour2.png
1,1,1,1,4,3,2,car_colour4.png,car_colour3.png
1,1,1,2,5,4,2,car_colour5.png,car_colour4.png
1,1,1,2,6,5,2,car_colour6.png,car_colour5.png
1,1,1,2,7,6,2,car_colour7.png,car_colour6.png
1,1,1,1,8,7,2,car_colour8.png,car_colour7.png
1,1,1,3,10,9,2,car_colour10.png,car_colour9.png
1,1,2,1,4,3,2,car_colour4.png,car_colour3.png
1,1,2,2,5,4,2,car_colour5.png,car_colour4.png
1,1,2,2,6,5,2,car_colour6.png,car_colour5.png
1,1,2,2,6,7,1,car_colour6.png,car_colour7.png
1,1,2,1,8,7,2,car_colour8.png,car_colour7.png
1,1,2,3,10,9,2,car_colour10.png,car_colour9.png
1,1,3,2,7,6,2,car_colour7.png,car_colour6.png
1,1,3,1,4,3,2,car_colour4.png,car_colour3.png
1,1,3,2,4,5,1,car_colour4.png,car_colour5.png
1,1,3,3,10,9,2,car_colour10.png,car_colour9.png
1,1,3,2,6,5,2,car_colour6.png,car_colour5.png
1,1,3,1,8,7,2,car_colour8.png,car_colour7.png
1,1,4,2,7,6,2,car_colour7.png,car_colour6.png
1,1,4,1,7,8,1,car_colour7.png,car_colour8.png
1,1,4,3,10,9,2,car_colour10.png,car_colour9.png
1,1,4,2,5,4,2,car_colour5.png,car_colour4.png
1,1,4,1,3,4,1,car_colour3.png,car_colour4.png
1,1,4,2,5,6,1,car_colour5.png,car_colour6.png
1,1,5,2,4,5,1,car_colour4.png,car_colour5.png
1,1,5,3,9,10,1,car_colour9.png,car_colour10.png
1,1,5,1,8,7,2,car_colour8.png,car_colour7.png
1,1,5,2,6,5,2,car_colour6.png,car_colour5.png
1,1,5,2,6,7,1,car_colour6.png,car_colour7.png
1,1,5,1,4,3,2,car_colour4.png,car_colour3.png
0,2,0,0,2,1,1,practicecar_colour1vscolour2.mov,
0,1,0,0,2,1,1,practicecar_colour2.png,practicecar_colour1.png
2,1,0,4,5,7,1,car_colour5.png,car_colour7.png
2,1,0,4,6,4,2,car_colour6.png,car_colour4.png
2,1,0,2,5,4,2,car_colour5.png,car_colour4.png
2,1,0,1,3,4,1,car_colour3.png,car_colour4.png
2,1,0,2,7,6,2,car_colour7.png,car_colour6.png
2,1,0,3,10,9,2,car_colour10.png,car_colour9.png
2,1,0,1,7,8,1,car_colour7.png,car_colour8.png
2,1,0,2,6,5,2,car_colour6.png,car_colour5.png
